id,name,scientific_name,family,wingspan_mm,distribution,habitat,lifecycle_notes,conservation_status,host_plants,youtube_embed_link,general_description
0,ADONIS,Lysandra bellargus,Lycaenidae,30-40,Europe & W Russia,Chalk grassland; warm slopes,Two broods; larvae tended by ants,Least Concern,Horseshoe vetch,https://www.youtube.com/embed/decUzdhsl0A?si=NciaQ1XBjuepaA9J,"Bright blue male with dark borders; females brown. Flutters low over grasslands, mutualistic with ants."
1,AFRICAN GIANT SWALLOWTAIL,Papilio antimachus,Papilionidae,180-230,Central & West Africa,Tropical rainforest canopy,Males mud-puddle; life history poorly documented,Data Deficient,Unknown (likely Aristolochiaceae),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID2,"World's largest swallowtail; orange-black pattern. Toxic, rarely descends from canopy."
2,AMERICAN SNOOT,Battus philenor,Papilionidae,70-95,North America,Woodlands & gardens,Single brood; larvae sequester pipevine toxins,Least Concern,Pipevine (Aristolochia spp.),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID3,Iridescent blue-green hindwings; slow flight. 'Snout' from elongated palpi.
3,AN 88,Diaethria anna,Nymphalidae,35-50,Central & South America,Forest edges,Multiple broods; larvae feed in groups,Not Evaluated,Cecropia trees,https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID4,Black-and-white '88' pattern on hindwing underside. Swift flier in humid forests.
4,APPOLLO,Parnassius apollo,Papilionidae,60-90,European Alps,Montane meadows,One brood; larval hibernation; cold-adapted,Near Threatened,Stonecrop (Sedum spp.),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID5,"White wings with red eyespots; slow, gliding flight. Threatened by climate change."
5,ATALA,Eumaeus atala,Lycaenidae,35-45,Florida/Caribbean,Coastal forests,Cyanide-defended larvae; colonial nests,Least Concern,Coontie palm (Zamia integrifolia),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID6,"Iridescent teal body, red abdomen. Rebounding from near-extinction via host plant conservation."
6,BANDED ORANGE HELICONIAN,Dryadula phaetusa,Nymphalidae,75-90,Mexico to Brazil,Open habitats,Long-lived adults; mimicry complex,Not Evaluated,Passion vines; False bird-of-paradise,https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID7,Orange with black bands; mimics toxic species. Common in sunny clearings.
7,BANDED PEACOCK,Anartia fatima,Nymphalidae,50-65,Central America,Gardens & marshes,Multiple generations year-round,Not Evaluated,Plantago; Bacopa; Lippia,https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID8,White bands on brown wings; large eyespots. Bounces low in open areas.
8,BECKERS WHITE,Pontia beckerii,Pieridae,35-50,Western North America,Deserts & canyons,"Multiple broods; fast development in heat"";",Least Concern,Mustard family (Brassicaceae),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID9,White with green marbling; desert specialist. Visits damp soil for minerals.
9,BLACK HAIRSTREAK,Satyrium pruni,Lycaenidae,35-40,Europe (localized),Ancient woodlands,One brood; eggs overwinter; ant-associated,Endangered [UK: citation:3],Blackthorn (Prunus spinosa),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID10,"Brown with orange spots; hindwing tails. Rare, dependent on unmanaged hedgerows."
10,BLUE MORPHO,Morpho peleides,Nymphalidae,100-150,Neotropics,Rainforest understory,Larvae hairy; adults fly in canopy light gaps,Not Evaluated,Legumes (e.g. Mucuna  Machaerium),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID11,"Iridescent blue dorsal; cryptic brown underside. Flaps lazily, startling predators with flash color."
11,BLUE SPOTTED CROW,Euploea midamus,Nymphalidae,70-85,Southeast Asia,Forests & plantations,Larvae sequester toxins; adults long-lived,Not Evaluated,Figs; Oleanders,https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID12,Dark brown with electric blue spots; slow flight. Poisonous to birds.
12,BROWN SIPROETA,Siproeta epaphus,Nymphalidae,65-80,Mexico to Amazon,Disturbed forests,Multiple broods; larvae spiny,Not Evaluated,Acanthaceae (e.g. Ruellia),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID13,Orange-brown with black bands; white spots. Visits fruit more than flowers.
13,CABBAGE WHITE,Pieris rapae,Pieridae,40-50,Global (introduced),Gardens & farms,Multiple broods; pest of crucifers,Least Concern,Cabbage; Mustard; Nasturtium,https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID14,White with black wingtips (female: two spots). Abundant urban immigrant.
14,CAIRNS BIRDWING,Ornithoptera euphorion,Papilionidae,120-150,NE Australia,Rainforest edges,Larvae feed on aristolochias; protected,Least Concern,Aristolochia vines,https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID15,"Male yellow-green; female larger, black-white-yellow. Australia's largest endemic butterfly."
15,CHECQUERED SKIPPER,Carterocephalus palaemon,Hesperiidae,25-30,Holarctic,Grasslands & clearings,One brood; larvae build leaf shelters,Least Concern [UK: citation:3], Grasses (Poa Calamagrostis),https://www.youtube.com/embed/YOUR_DOCUMENTARY_ID16,Gold-chequered brown; rapid darting flight. Basks on low perches.
